Surname,FirstName,Gender,AKO,House,Age,Email
Smith,John,M,,Red,10,john.smith@example.com
Johnson,Sarah,F,,Blue,9,sarah.johnson@example.com
Williams,Michael,M,,Green,11,michael.williams@example.com
Brown,Emma,F,,Red,10,emma.brown@example.com
Jones,Oliver,M,,Yellow,9,oliver.jones@example.com
Garcia,Sophia,F,,Blue,11,sophia.garcia@example.com
Miller,Ava,F,,Green,10,ava.miller@example.com
Davis,Lucas,M,,Red,9,lucas.davis@example.com
Rodriguez,Isabella,F,,Yellow,10,isabella.rodriguez@example.com
Martinez,Ethan,M,,Blue,11,ethan.martinez@example.com
